code	notes	emoji	description	ASCII	tagged_desc	url
1F600	fully-qualified     # 😀 E1.0 grinning face	😀	grinning face	<f0><9f><98><80>	jaugur_grinning_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-face_1f600.png
1F603	fully-qualified     # 😃 E0.6 grinning face with big eyes	😃	grinning face with big eyes	<f0><9f><98><83>	jaugur_grinning_face_with_big_eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-face-with-big-eyes_1f603.png
1F604	fully-qualified     # 😄 E0.6 grinning face with smiling eyes	😄	grinning face with smiling eyes	<f0><9f><98><84>	jaugur_grinning_face_with_smiling_eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-face-with-smiling-eyes_1f604.png
1F601	fully-qualified     # 😁 E0.6 beaming face with smiling eyes	😁	beaming face with smiling eyes	<f0><9f><98><81>	jaugur_beaming_face_with_smiling_eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/beaming-face-with-smiling-eyes_1f601.png
1F606	fully-qualified     # 😆 E0.6 grinning squinting face	😆	grinning squinting face	<f0><9f><98><86>	jaugur_grinning_squinting_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-squinting-face_1f606.png
1F605	fully-qualified     # 😅 E0.6 grinning face with sweat	😅	grinning face with sweat	<f0><9f><98><85>	jaugur_grinning_face_with_sweat 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/grinning-face-with-sweat_1f605.png
1F923	fully-qualified     # 🤣 E3.0 rolling on the floor laughing	🤣	rolling on the floor laughing	<f0><9f><a4><a3>	jaugur_rolling_on_the_floor_laughing 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/rolling-on-the-floor-laughing_1f923.png
1F602	fully-qualified     # 😂 E0.6 face with tears of joy	😂	face with tears of joy	<f0><9f><98><82>	jaugur_face_with_tears_of_joy 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-with-tears-of-joy_1f602.png
1F642	fully-qualified     # 🙂 E1.0 slightly smiling face	🙂	slightly smiling face	<f0><9f><99><82>	jaugur_slightly_smiling_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/slightly-smiling-face_1f642.png
1F643	fully-qualified     # 🙃 E1.0 upside-down face	🙃	upside-down face	<f0><9f><99><83>	jaugur_upside-down_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/upside-down-face_1f643.png
1F609	fully-qualified     # 😉 E0.6 winking face	😉	winking face	<f0><9f><98><89>	jaugur_winking_face 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/winking-face_1f609.png
1F60A	fully-qualified     # 😊 E0.6 smiling face with smiling eyes	😊	smiling face with smiling eyes	<f0><9f><98><8a>	jaugur_smiling_face_with_smiling_eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-smiling-eyes_1f60a.png
1F607	fully-qualified     # 😇 E1.0 smiling face with halo	😇	smiling face with halo	<f0><9f><98><87>	jaugur_smiling_face_with_halo 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-halo_1f607.png
1F970	fully-qualified     # 🥰 E11.0 smiling face with hearts	🥰	smiling face with hearts	<f0><9f><a5><b0>	jaugur_smiling_face_with_hearts 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-hearts_1f970.png
1F60D	fully-qualified     # 😍 E0.6 smiling face with heart-eyes	😍	smiling face with heart-eyes	<f0><9f><98><8d>	jaugur_smiling_face_with_heart-eyes 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/smiling-face-with-heart-eyes_1f60d.png
1F929	fully-qualified     # 🤩 E5.0 star-struck	🤩	star-struck	<f0><9f><a4><a9>	jaugur_star-struck 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/star-struck_1f929.png
1F618	fully-qualified     # 😘 E0.6 face blowing a kiss	😘	face blowing a kiss	<f0><9f><98><98>	jaugur_face_blowing_a_kiss 	https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/face-blowing-a-kiss_1f618.png
