Source: https://greenwichmeantime.com/time-zone/definition/
UTC_Offset	Name	Military_Designation
UTC+0	Greenwich Mean Time (GMT)	Z (Zulu)
UTC+1	Central European Time (CET)	A (Alpha)
UTC+2	Eastern European Time (EET)	B (Bravo)
UTC+3	Moscow Time (MSK)	C (Charlie)
UTC+4	Armenia Time (AMT)	D (Delta)
UTC+5	Pakistan Standard Time (PKT)	E (Echo)
UTC+6	Omsk Time (OMSK)	F (Foxtrot)
UTC+7	Kranoyask Time (KRAT)	G (Golf)
UTC+8	China Standard Time (CST)	H (Hotel)
UTC+9	Japan Standard Time (JST)	I (India)
UTC+10	Eastern Australia Standard Time (AEST)	K (Kilo)
UTC+11	Sakhalin Time (SAKT)	L (Lima)
UTC+12	New Zealand Standard Time (NZST)	M (Mike)
UTC-1	West Africa Time (WAT)	N (November)
UTC-2	Azores Time (AT)	O (Oscar)
UTC-3	Argentina Time (ART)	P (Papa)
UTC-4	Atlantic Standard Time (AST)	Q (Quebec)
UTC-5	Eastern Standard Time (EST)	R (Romeo)
UTC-6	Central Standard Time (CST)	S (Sierra)
UTC-7	Mountain Standard Time (MST)	T (Tango)
UTC-8	Pacific Standard Time (PST)	U (Uniform)
UTC-9	Alaska Standard Time (AKST)	V (Victor)
UTC-10	Hawaii Standard Time (HST)	W (Whiskey)
UTC-11	Nome Time (NT)	X (X-ray)
UTC-12	International Date Line West (IDLW)	Y (Yankee)
